,CRN,ARRIVAL_TM,DISPATCH_TM,COUNTY,MUNICIPALITY,DEC_LAT,DEC_LONG,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,HEAVY_TRUCK_COUNT,SMALL_TRUCK_COUNT,SUV_COUNT,COLLISION_TYPE,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,HOUR_OF_DAY,ILLUMINATION,LOCATION_TYPE,ROAD_CONDITION,URBAN_RURAL,INTERSECT_TYPE,WEATHER1,WEATHER2,TCD_TYPE,TCD_FUNC_CD,AGGRESSIVE_DRIVING,ALCOHOL_RELATED,ANGLE_CRASH,CELL_PHONE,COMM_VEHICLE,DISTRACTED,DRINKING_DRIVER,DRUGGED_DRIVER,FATIGUE_ASLEEP,IMPAIRED_DRIVER,NHTSA_AGG_DRIVING,RUNNING_RED_LT,RUNNING_STOP_SIGN,SPEEDING_RELATED,TAILGATING,MATURE_DRIVER,YOUNG_DRIVER
0,2002011869,1524.0,1502.0,66,66404,40.1107,-77.0356,0,0,0,0,0,0,4,1,2002,6,15.0,1.0,0,1.0,1,0,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2002017753,1250.0,1247.0,19,19222,41.0106,-76.4159,0,0,0,0,0,0,4,3,2002,7,12.0,1.0,0,1.0,1,0,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2002017756,943.0,940.0,28,28401,39.9349,-77.6543,0,0,0,0,0,0,9,3,2002,2,9.0,1.0,0,1.0,1,1,3,  ,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2002020124,1230.0,1230.0,2,2119,40.3526,-80.1687,0,0,0,0,0,0,4,3,2002,7,12.0,1.0,0,1.0,1,0,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2002022409,1845.0,1843.0,25,25302,,,0,0,0,0,0,0,2,2,2002,3,18.0,3.0,0,1.0,3,1,3,  ,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2002024461,1905.0,1903.0,67,67301,,,0,0,0,0,0,0,2,2,2002,7,19.0,3.0,0,1.0,3,1,3,  ,2,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2002030562,1546.0,1544.0,40,40401,41.2084,-75.9039,0,0,0,0,1,0,4,4,2002,5,15.0,1.0,0,1.0,3,2,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2002034523,1518.0,1514.0,28,28406,39.7518,-77.5705,0,0,0,0,0,0,4,3,2002,6,15.0,1.0,0,1.0,2,1,3,  ,2,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,2002042210,2113.0,2111.0,40,40304,,,0,0,0,0,0,0,4,4,2002,7,21.0,3.0,0,9.0,3,1,7,  ,2,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2002043007,1406.0,1402.0,48,48409,40.6734,-75.4828,0,0,0,0,0,0,4,5,2002,7,14.0,1.0,0,1.0,3,2,3,  ,3,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
