,CRN,RDWY_SEQ_NUM,ADJ_RDWY_SEQ,ROUTE,SEGMENT,OFFSET,RDWY_ORIENT,LANE_COUNT,SPEED_LIMIT,STREET_NAME,ROAD_OWNER,ACCESS_CTRL,RDWY_COUNTY
0,2002048606,3,3,0062,280.0,303.0,N,2.0,35.0,LIBERTY ST,2.0,3.0,60
1,2002212936,4,5,T491,,0.0,W,99.0,,OAKLAND RD,4.0,,48
2,2002212936,5,4,T490,,0.0,S,99.0,,HECKTOWN RD,4.0,,48
3,2002212936,3,3,2028,30.0,0.0,N,2.0,,SR 2028 SH,2.0,3.0,48
4,2002230213,3,3,2067,30.0,2022.0,S,2.0,40.0,SR 2067 SH,2.0,3.0,9
5,2002230213,4,4,T343,,0.0,E,99.0,25.0,MONICA DR,4.0,,9
6,2002202052,3,4,,,0.0,E,99.0,25.0,BARRON AV,4.0,,11
7,2002202052,4,3,,,0.0,N,99.0,25.0,FLOUNDER PL,4.0,,11
8,2002215298,3,3,0333,220.0,710.0,N,2.0,40.0,SR 0333 SH,2.0,3.0,34
9,2002215298,4,4,,,0.0,E,99.0,35.0,MILFORD ST,4.0,,34
10,2002064865,3,4,,,,N,2.0,25.0,NINTH ST,4.0,,7
11,2002064865,4,3,,,,W,2.0,25.0,SECOND AV,4.0,,7
12,2002070421,4,3,,,,W,2.0,25.0,MARSHALL ST,4.0,,15
13,2002070421,3,4,,,,S,2.0,25.0,NEW ST,4.0,,15
14,2002217530,3,4,,,0.0,N,99.0,25.0,ENGLE ST,4.0,,23
15,2002217530,4,3,,,0.0,E,99.0,15.0,UNION ST,4.0,,23
16,2003021249,4,3,,,,W,2.0,25.0,TURNER ST,4.0,,39
17,2003021249,3,4,,,,N,2.0,25.0,JORDAN ST,4.0,,39
18,2003046263,4,3,,,,N,2.0,25.0,FIFTEENTH ST,4.0,,7
19,2003046263,3,4,,,,N,2.0,25.0,FOURTH ST,4.0,,7
20,2002215726,4,3,,,0.0,N,99.0,25.0,VALLEY FORGE RD,4.0,,46
21,2002215726,3,4,,,0.0,E,99.0,25.0,EIGHTH ST,4.0,,46
22,2003021258,3,3,0145,90.0,0.0,N,3.0,35.0,SEVENTH ST,2.0,3.0,39
23,2003021258,4,4,,,,W,2.0,30.0,WASHINGTON ST,4.0,,39
24,2002218696,3,5,0068,460.0,457.0,E,2.0,25.0,,2.0,3.0,10
25,2002218696,4,3,0008,350.0,0.0,N,2.0,25.0,,2.0,3.0,10
26,2002218696,5,4,0008,351.0,0.0,S,2.0,25.0,,2.0,,10
27,2003033181,3,3,,,,N,2.0,,GRAPE WY,4.0,,3
28,2003048085,3,4,,,,W,2.0,25.0,FIFTH AV,4.0,,7
29,2003048085,4,3,,,,S,2.0,25.0,THIRTY FIRST ST,4.0,,7
30,2003036624,4,3,,,,W,2.0,,TWELFTH SQ,4.0,,14
31,2003036624,3,4,,,,N,2.0,35.0,PINE ST,4.0,,14
32,2003007139,3,3,0130,273.0,2928.0,W,2.0,35.0,COLLEGE AV,2.0,3.0,64
33,2003034277,3,3,,,,N,2.0,25.0,VERNON AV,4.0,,22
34,2002061046,3,4,,,,U,2.0,25.0,SHATTO DR,4.0,,21
35,2002061046,4,3,T600,,,U,2.0,25.0,SUNSET DR,4.0,,21
36,2002062950,3,3,3030,10.0,1979.0,E,2.0,40.0,ST CLAIR WY,2.0,3.0,64
37,2002245116,3,4,,,0.0,E,99.0,25.0,BUCHANAN WY,4.0,,37
38,2002245116,4,3,,,0.0,N,99.0,25.0,CLEVELAND WY,4.0,,37
39,2003034689,3,3,3015,41.0,663.0,S,2.0,25.0,COBBS CREEK PY,2.0,,67
40,2003034689,4,4,,,,W,2.0,35.0,FLORENCE AV,4.0,,67
41,2003071688,3,3,3007,30.0,884.0,N,3.0,,BENJAMIN FRANKLIN PY,2.0,3.0,67
42,2003008298,3,3,,,,S,1.0,35.0,GRATZ ST,4.0,,67
43,2003068800,3,3,0291,170.0,640.0,E,3.0,25.0,BROAD ST,2.0,3.0,67
44,2003068800,4,4,,,,W,2.0,,CATHARINE ST,4.0,,67
45,2003008471,4,3,,,,N,2.0,25.0,FIFTYSIXTH ST,4.0,,67
46,2003008471,3,4,,,,N,2.0,25.0,WOODBINE AV,4.0,,67
47,2003068817,4,4,2006,80.0,1780.0,E,2.0,,SPRING GARDEN ST,2.0,3.0,67
48,2003068817,3,3,2005,71.0,1814.0,S,2.0,35.0,SIXTH ST,2.0,3.0,67
49,2003038030,3,3,3020,60.0,1895.0,,2.0,40.0,DUTTON MILL RD,2.0,3.0,23
50,2003038030,4,4,,,,N,2.0,35.0,OLD MIDDLETOWN RD,4.0,,23
51,2002217482,3,3,,,0.0,U,99.0,25.0,CLEARVIEW AV,4.0,,9
52,2003016875,3,4,,,,S,1.0,25.0,BELGRADE ST,4.0,,67
53,2003016875,4,3,,,,E,1.0,,COMMISSIONER ST,4.0,,67
54,2002054052,4,4,,,,S,2.0,25.0,ELDER ST,4.0,,67
55,2002054052,3,3,1004,20.0,383.0,E,2.0,25.0,ERIE AV,2.0,3.0,67
56,2003066922,3,4,,,,E,2.0,25.0,CHESTNUT ST,4.0,,36
57,2003066922,4,3,,,,S,1.0,25.0,MARKET ST,4.0,,36
58,2002228852,3,3,1006,280.0,1912.0,W,2.0,45.0,,2.0,3.0,9
59,2003025944,3,4,,,0.0,W,2.0,30.0,SECOND ST,4.0,,67
60,2003025944,4,3,,,0.0,S,2.0,30.0,CHAMPLOST ST,4.0,,67
61,2003071789,3,4,,,0.0,S,2.0,,EIGHTH ST,4.0,,67
62,2003071789,4,3,,,0.0,W,2.0,,LATONA ST,4.0,,67
63,2003042196,4,3,,,,N,2.0,25.0,SIXTEENTH ST,4.0,,67
64,2003042196,3,4,,,,E,2.0,25.0,MIFFLIN ST,4.0,,67
65,2004005488,3,3,,,,E,1.0,,BRILL ST,4.0,,67
66,2002227297,4,3,,,0.0,E,99.0,25.0,CHURCH ST,4.0,,2
67,2002227297,3,4,,,0.0,N,99.0,25.0,DONNA AV,4.0,,2
68,2003056659,3,4,,,,W,1.0,25.0,TAUNTON ST,4.0,,67
69,2003056659,4,3,,,,N,1.0,25.0,HARGRAVE ST,4.0,,67
70,2003033404,3,4,,,,N,2.0,,SIXTYFIRST ST,4.0,,67
71,2003033404,4,3,,,,W,2.0,,LUDLOW ST,4.0,,67
72,2005118604,3,4,,,,W,2.0,25.0,SPRUCE ST,4.0,,67
73,2005118604,4,3,,,,N,2.0,25.0,DARIEN ST,4.0,,67
74,2003047728,3,4,,,,W,1.0,25.0,SHUNK ST,4.0,,67
75,2003047728,4,3,,,,N,1.0,20.0,FAIRHILL ST,4.0,,67
76,2002207306,4,3,,,0.0,E,99.0,25.0,SIXTH ST,4.0,,6
77,2002207306,3,4,,,0.0,N,99.0,25.0,CHERRY ST,4.0,,6
78,2002217120,4,3,,,0.0,N,99.0,35.0,EMERSON AV,4.0,,37
79,2002217120,3,4,,,0.0,E,99.0,35.0,PARK AV,4.0,,37
80,2003001284,4,4,,,,,2.0,,RIVER RD,4.0,,8
81,2003001284,3,3,0220,810.0,604.0,,4.0,45.0,,2.0,3.0,8
82,2002225143,4,5,,,0.0,S,99.0,25.0,FOURTH ST,4.0,,9
83,2002225143,3,4,0313,33.0,0.0,W,2.0,25.0,SR 0313 SH,2.0,3.0,9
84,2002225143,5,3,0313,32.0,0.0,E,2.0,25.0,SR 0313 SH,2.0,3.0,9
85,2002067635,3,4,,,,N,2.0,35.0,HIGH ST,4.0,,40
86,2002067635,4,3,,,,W,2.0,35.0,HAZLE ST,4.0,,40
87,2002230328,4,4,,,0.0,E,99.0,55.0,ROGERS AV,4.0,,23
88,2002230328,3,3,2026,80.0,1460.0,S,2.0,35.0,SR 2026 SH,2.0,3.0,23
89,2004031217,3,3,,,,S,2.0,15.0,NEWTOWN AV,4.0,,67
90,2003042897,4,3,,,,W,2.0,,SUSQUEHANNA ST,4.0,,67
91,2003042897,3,4,,,,S,2.0,,SEVENTEENTH ST,4.0,,67
92,2003068986,3,4,,,,W,4.0,,HUNTING PARK AV,4.0,,67
93,2003068986,4,3,,,,S,1.0,,EIGHTH ST,4.0,,67
94,2005196747,3,3,2007,,,W,4.0,45.0,NORRISTOWN RD,2.0,,46
95,2003056698,3,3,,,,E,1.0,,ALCOTT ST,4.0,,67
96,2003050343,4,3,,,,W,2.0,,FEDERAL ST,4.0,,67
97,2003050343,3,4,,,,N,2.0,,SIXTEENTH ST,4.0,,67
98,2003015247,4,4,,,,N,2.0,25.0,TWENTYSECOND ST,4.0,,67
99,2003015247,3,3,3007,41.0,1772.0,S,3.0,45.0,BENJAMIN FRANKLIN PY,2.0,3.0,67
100,2002211923,3,4,,,0.0,N,99.0,25.0,CANNON AV,4.0,,46
101,2002211923,4,3,,,0.0,E,99.0,25.0,DELAWARE AV,4.0,,46
102,2002219309,3,4,,,0.0,W,99.0,25.0,SHARON RD,4.0,,4
103,2002219309,4,3,,,0.0,N,99.0,25.0,ELGIN ST,4.0,,4
104,2003019748,3,3,4070,70.0,270.0,W,2.0,25.0,INGOMAR RD,2.0,3.0,2
105,2003057011,3,3,4018,70.0,1344.0,E,3.0,35.0,EIGHTH ST,2.0,3.0,25
106,2003028697,3,3,,,,W,2.0,35.0,EMAUS AV,4.0,,39
107,2005110882,3,4,,,0.0,S,2.0,35.0,EIGHTH ST,4.0,,39
108,2005110882,4,3,,,0.0,W,2.0,35.0,WYOMING ST,4.0,,39
109,2002221839,4,4,,,0.0,S,99.0,25.0,SCHOOL ST,4.0,,39
110,2002221839,3,3,2002,140.0,2067.0,E,2.0,30.0,SR 2002 SH,2.0,3.0,39
111,2002230036,3,4,,,0.0,W,99.0,25.0,WALNUT ST,4.0,,39
112,2002230036,4,3,,,0.0,S,99.0,,RAIROADS ST,4.0,,39
113,2002231077,4,4,,,0.0,W,99.0,25.0,BOND AV,4.0,,23
114,2002231077,3,3,2007,60.0,502.0,N,2.0,25.0,SR 2007 SH,2.0,3.0,23
115,2002227022,3,3,0074,410.0,2558.0,S,2.0,40.0,,2.0,3.0,66
116,2002236953,3,3,,,0.0,W,99.0,25.0,KEEPORT DR,4.0,,2
117,2003047607,3,3,,,,N,2.0,25.0,KUMMER RD,3.0,,2
118,2002051227,3,3,,,,E,1.0,25.0,LAKESHORE DR,4.0,,2
119,2002227393,3,4,,,0.0,E,99.0,25.0,MAGNOLIA AV,4.0,,9
120,2002227393,4,3,,,0.0,N,99.0,25.0,MULBERRY AV,4.0,,9
121,2002215819,4,4,T436,,0.0,S,99.0,25.0,LAMOUR ST,4.0,,39
122,2002215819,3,3,2040,90.0,543.0,W,2.0,40.0,SR 2040 SH,2.0,3.0,39
123,2002230930,3,4,,,0.0,S,99.0,25.0,THIRTEENTH ST,4.0,,55
124,2002230930,4,3,,,0.0,E,99.0,,UNKNOWN AL,4.0,,55
125,2002239527,3,3,,,0.0,N,99.0,25.0,EDGEWOOD AV,4.0,,23
126,2002219087,3,3,1014,10.0,220.0,E,2.0,45.0,,2.0,3.0,6
127,2003023868,3,3,3011,70.0,1411.0,N,2.0,40.0,,2.0,3.0,58
128,2002066852,3,4,,,,W,2.0,25.0,A ST,4.0,,21
129,2002066852,4,3,,,,N,2.0,25.0,WEST ST,4.0,,21
130,2002210105,3,3,,,0.0,N,99.0,25.0,ARGYLE AV,4.0,,66
131,2003046191,4,3,,,,E,2.0,25.0,QUEEN ST,4.0,,36
132,2003046191,3,4,,,,S,2.0,25.0,SOUTH STATE ST,4.0,,36
133,2002218320,4,3,2024,60.0,545.0,E,2.0,35.0,SR 2024 SH,2.0,3.0,23
134,2002218320,5,5,,,0.0,S,99.0,25.0,ROCKLYN RD,4.0,,23
135,2002218320,3,4,2024,61.0,545.0,W,2.0,35.0,SR 2024 SH,2.0,3.0,23
136,2006069322,3,3,,,,U,2.0,,RIDGE PK,2.0,,46
137,2003058647,3,3,,,,S,2.0,15.0,SHORTLIDGE RD,4.0,,14
138,2002217722,3,3,0462,,,E,99.0,45.0,,2.0,,66
139,2002202762,3,3,0008,40.0,0.0,W,2.0,25.0,,2.0,3.0,20
140,2002202762,4,4,0027,460.0,1813.0,W,2.0,25.0,,2.0,3.0,20
141,2002068643,3,3,0006,980.0,1610.0,,2.0,55.0,GRAND ARMY OF REPUBLIC HW,2.0,3.0,58
142,2002238773,3,3,2006,81.0,1165.0,W,2.0,35.0,,2.0,3.0,23
143,2003073106,4,4,3033,10.0,0.0,S,2.0,55.0,BARRON CHURCH RD,2.0,3.0,55
144,2003073106,3,3,0653,120.0,0.0,W,2.0,55.0,SCULLTON RD,2.0,3.0,55
145,2003030069,3,3,2023,80.0,0.0,S,2.0,35.0,BLOOMINGROVE RD,2.0,3.0,41
146,2003030069,4,4,,,,W,2.0,45.0,CEMETERY RD,4.0,,41
147,2003042920,3,3,,,,E,2.0,35.0,MAPLE ST,4.0,,38
148,2002202837,3,3,,,0.0,W,99.0,55.0,GREYSTONE DR,4.0,,66
149,2003049638,3,3,,,,W,3.0,35.0,SUMNEYTOWN PK,4.0,,46
150,2002062157,3,3,,,0.0,S,2.0,25.0,NINETEENTH ST,4.0,,21
151,2002230287,3,3,0011,430.0,200.0,E,2.0,25.0,,2.0,3.0,19
152,2005169826,3,3,3001,,0.0,,2.0,35.0,,2.0,,37
153,2003044901,3,3,,,,S,2.0,35.0,SALTSMAN RD,4.0,,25
154,2002225015,4,3,,,0.0,N,99.0,25.0,POPLAR ST,4.0,,11
155,2002225015,3,4,,,0.0,E,99.0,25.0,CRAWFORD ST,4.0,,11
156,2003047558,3,3,,,,S,2.0,25.0,ASTOR ST,4.0,,46
157,2002236647,3,3,,,0.0,E,99.0,25.0,SHIRLEY ST,4.0,,31
158,2002202936,4,3,,,0.0,E,99.0,25.0,HALE AL,4.0,,2
159,2002202936,3,4,,,0.0,N,99.0,25.0,MEADOW ST,4.0,,2
160,2003063952,3,4,,,,N,2.0,25.0,AIKEN AV,4.0,,2
161,2003063952,4,3,,,,E,2.0,25.0,ELLSWORTH AV,4.0,,2
162,2002231114,3,4,,,0.0,E,99.0,25.0,ORLANDO AV,4.0,,2
163,2002231114,4,3,,,0.0,N,99.0,25.0,MARTSOLF AV,4.0,,2
164,2002223832,3,4,,,0.0,S,99.0,25.0,SECOND AV,4.0,,15
165,2002223832,4,3,,,0.0,E,99.0,25.0,CHESTNUT ST,4.0,,15
166,2002217647,3,3,2006,131.0,469.0,W,2.0,40.0,,2.0,3.0,23
167,2003023168,3,3,0322,410.0,0.0,W,2.0,45.0,28TH DIVISION HW,2.0,3.0,36
168,2003023168,4,4,,,,U,2.0,55.0,SPRUCE RD,4.0,,36
169,2003041549,3,3,3007,20.0,0.0,N,3.0,25.0,ARCH ST,2.0,3.0,67
170,2003041549,4,4,,,,N,2.0,25.0,NINTH ST,4.0,,67
171,2002236155,3,4,,,0.0,E,99.0,25.0,BAEDER RD,4.0,,46
172,2002236155,4,3,,,0.0,N,99.0,25.0,WINDING WY,4.0,,46
173,2003035345,4,3,,,,N,2.0,,MARSHALL RD,4.0,,67
174,2003035345,3,4,,,,W,2.0,,YORK ST,4.0,,67
175,2003056466,3,4,,,,E,1.0,25.0,CLEARFIELD ST,4.0,,67
176,2003056466,4,3,,,,N,2.0,25.0,SEVENTH ST,4.0,,67
177,2003057689,4,5,,,,N,2.0,,THIRTYFIRST ST,4.0,,67
178,2003057689,5,4,3005,30.0,0.0,S,2.0,,THIRTYTHIRD ST,2.0,3.0,67
179,2003057689,3,3,0003,90.0,1234.0,E,2.0,35.0,CHESTNUT ST,2.0,3.0,67
180,2003030751,3,4,,,,E,2.0,35.0,WILLIAMSON RD,4.0,,46
181,2003030751,4,3,,,,S,2.0,30.0,BLACK ROCK RD,4.0,,46
182,2005123055,4,3,,,,E,2.0,25.0,BASIN ST,4.0,,46
183,2005123055,3,4,,,,N,2.0,25.0,MARKLEY ST,4.0,,46
184,2002210935,3,3,,,0.0,E,99.0,25.0,DEAN DR,4.0,,46
185,2002051955,3,4,,,,N,2.0,25.0,EAST ST,4.0,,52
186,2002051955,4,3,,,,E,2.0,25.0,PINE ST,4.0,,52
187,2002237610,4,5,2029,120.0,615.0,N,2.0,25.0,,2.0,3.0,25
188,2002237610,3,4,0426,50.0,0.0,N,2.0,25.0,,2.0,3.0,25
189,2002237610,5,3,0077,110.0,2368.0,E,2.0,25.0,,2.0,3.0,25
190,2003022891,3,3,,,,N,1.0,25.0,BENNINGTON ST,4.0,,67
191,2003056518,4,3,,,,E,1.0,,HADDINGTON ST,4.0,,67
192,2003056518,3,4,,,,S,1.0,,KENMORE RD,4.0,,67
193,2003032940,4,4,,,,N,1.0,25.0,SIXTEENTH ST,4.0,,67
