CRN,GRADE,IMPACT_POINT,RDWY_ALIGNMENT,UNIT_NUM,VEH_MOVEMENT,VEH_POSITION,VEH_ROLE,VEH_TYPE,PC_HDLGHT_IND,PC_HLMT_IND,PC_REAR_RFLTR_IND
2003030752,1.0,12.0,1.0,1,98.0,98.0,2.0,20.0,U,Y,U
2003035695,3.0,12.0,1.0,1,1.0,11.0,1.0,20.0,U,U,U
2003036989,3.0,12.0,1.0,1,1.0,8.0,1.0,20.0,U,U,U
2002230287,9.0,12.0,1.0,2,1.0,1.0,1.0,20.0,U,U,U
2003025059,3.0,12.0,1.0,1,12.0,2.0,1.0,20.0,U,U,U
2002054257,1.0,11.0,1.0,2,98.0,9.0,2.0,20.0,U,U,U
2002236647,9.0,2.0,1.0,1,1.0,9.0,2.0,20.0,U,U,U
2002215613,9.0,7.0,1.0,2,1.0,8.0,2.0,20.0,U,U,U
2002215613,9.0,8.0,1.0,3,1.0,8.0,2.0,20.0,U,U,U
2003031794,3.0,2.0,1.0,2,1.0,9.0,2.0,20.0,U,U,U
2005111154,1.0,9.0,1.0,2,1.0,8.0,2.0,20.0,U,N,U
2002061595,1.0,9.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2002222906,9.0,12.0,9.0,1,99.0,9.0,1.0,20.0,U,U,U
2003036940,1.0,9.0,1.0,1,1.0,8.0,2.0,20.0,U,U,U
2002218463,9.0,12.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2002227837,9.0,12.0,1.0,2,1.0,1.0,1.0,20.0,U,U,U
2003020095,1.0,6.0,1.0,2,1.0,11.0,2.0,20.0,U,U,U
2003020095,1.0,6.0,1.0,3,1.0,11.0,2.0,20.0,U,U,U
2002063451,1.0,1.0,1.0,2,12.0,7.0,1.0,20.0,U,Y,U
2003017956,2.0,9.0,1.0,2,1.0,1.0,2.0,20.0,U,Y,U
2002212714,9.0,6.0,9.0,2,99.0,9.0,2.0,20.0,U,U,U
2002216966,9.0,9.0,9.0,1,12.0,1.0,2.0,20.0,U,U,U
2003015798,1.0,3.0,1.0,1,1.0,6.0,1.0,20.0,U,U,U
2003030751,1.0,5.0,1.0,2,1.0,1.0,2.0,20.0,U,Y,U
2005164834,1.0,9.0,1.0,2,1.0,12.0,2.0,20.0,U,N,U
2002217482,9.0,99.0,9.0,2,99.0,99.0,2.0,21.0,U,U,U
2002228852,9.0,9.0,9.0,1,99.0,0.0,2.0,20.0,U,U,U
2002210935,9.0,12.0,9.0,1,8.0,1.0,1.0,20.0,U,U,U
2002223421,9.0,12.0,9.0,1,10.0,1.0,1.0,20.0,U,U,U
2002231114,9.0,12.0,1.0,2,1.0,1.0,1.0,20.0,U,U,U
2002065923,1.0,3.0,1.0,2,98.0,1.0,2.0,20.0,U,U,U
2003037316,1.0,7.0,1.0,1,15.0,1.0,2.0,20.0,U,U,U
2002227297,9.0,9.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2003001284,1.0,10.0,1.0,2,1.0,6.0,2.0,20.0,U,Y,U
2002217120,9.0,12.0,9.0,2,12.0,1.0,2.0,20.0,U,U,U
2002217120,9.0,12.0,9.0,3,12.0,1.0,2.0,20.0,U,U,U
2003093886,2.0,10.0,1.0,1,98.0,1.0,2.0,20.0,U,U,U
2003006066,1.0,99.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
