CRN,SPEED_LIMIT,RDWY_COUNTY
2002048606,35.0,60
2002212936,,48
2002212936,,48
2002212936,,48
2002230213,40.0,9
2002230213,25.0,9
2002202052,25.0,11
2002202052,25.0,11
2002215298,40.0,34
2002215298,35.0,34
2002064865,25.0,7
2002064865,25.0,7
2002070421,25.0,15
2002070421,25.0,15
2002217530,25.0,23
2002217530,15.0,23
2003021249,25.0,39
2003021249,25.0,39
2003046263,25.0,7
2003046263,25.0,7
2002215726,25.0,46
2002215726,25.0,46
2003021258,35.0,39
2003021258,30.0,39
2002218696,25.0,10
2002218696,25.0,10
2002218696,25.0,10
2003033181,,3
2003048085,25.0,7
2003048085,25.0,7
2003036624,,14
2003036624,35.0,14
2003007139,35.0,64
2003034277,25.0,22
2002061046,25.0,21
2002061046,25.0,21
2002062950,40.0,64
2002245116,25.0,37
2002245116,25.0,37
2003034689,25.0,67
2003034689,35.0,67
2003071688,,67
2003008298,35.0,67
2003068800,25.0,67
2003068800,,67
2003008471,25.0,67
2003008471,25.0,67
2003068817,,67
2003068817,35.0,67
2003038030,40.0,23
2003038030,35.0,23
2002217482,25.0,9
2003016875,25.0,67
2003016875,,67
2002054052,25.0,67
2002054052,25.0,67
2003066922,25.0,36
2003066922,25.0,36
2002228852,45.0,9
2003025944,30.0,67
2003025944,30.0,67
2003071789,,67
2003071789,,67
2003042196,25.0,67
2003042196,25.0,67
2004005488,,67
2002227297,25.0,2
2002227297,25.0,2
2003056659,25.0,67
2003056659,25.0,67
2003033404,,67
2003033404,,67
2005118604,25.0,67
2005118604,25.0,67
2003047728,25.0,67
2003047728,20.0,67
2002207306,25.0,6
2002207306,25.0,6
2002217120,35.0,37
2002217120,35.0,37
2003001284,,8
2003001284,45.0,8
2002225143,25.0,9
2002225143,25.0,9
2002225143,25.0,9
2002067635,35.0,40
2002067635,35.0,40
2002230328,55.0,23
2002230328,35.0,23
2004031217,15.0,67
2003042897,,67
2003042897,,67
2003068986,,67
2003068986,,67
2005196747,45.0,46
2003056698,,67
2003050343,,67
2003050343,,67
2003015247,25.0,67
2003015247,45.0,67
2002211923,25.0,46
2002211923,25.0,46
2002219309,25.0,4
2002219309,25.0,4
2003019748,25.0,2
2003057011,35.0,25
2003028697,35.0,39
2005110882,35.0,39
2005110882,35.0,39
2002221839,25.0,39
2002221839,30.0,39
2002230036,25.0,39
2002230036,,39
2002231077,25.0,23
2002231077,25.0,23
2002227022,40.0,66
2002236953,25.0,2
2003047607,25.0,2
2002051227,25.0,2
2002227393,25.0,9
2002227393,25.0,9
2002215819,25.0,39
2002215819,40.0,39
2002230930,25.0,55
2002230930,,55
2002239527,25.0,23
2002219087,45.0,6
2003023868,40.0,58
2002066852,25.0,21
2002066852,25.0,21
2002210105,25.0,66
2003046191,25.0,36
2003046191,25.0,36
2002218320,35.0,23
2002218320,25.0,23
2002218320,35.0,23
2006069322,,46
2003058647,15.0,14
2002217722,45.0,66
2002202762,25.0,20
2002202762,25.0,20
2002068643,55.0,58
2002238773,35.0,23
2003073106,55.0,55
2003073106,55.0,55
2003030069,35.0,41
2003030069,45.0,41
2003042920,35.0,38
2002202837,55.0,66
2003049638,35.0,46
2002062157,25.0,21
2002230287,25.0,19
2005169826,35.0,37
2003044901,35.0,25
2002225015,25.0,11
2002225015,25.0,11
2003047558,25.0,46
2002236647,25.0,31
2002202936,25.0,2
2002202936,25.0,2
2003063952,25.0,2
2003063952,25.0,2
2002231114,25.0,2
2002231114,25.0,2
2002223832,25.0,15
2002223832,25.0,15
2002217647,40.0,23
2003023168,45.0,36
2003023168,55.0,36
2003041549,25.0,67
2003041549,25.0,67
2002236155,25.0,46
2002236155,25.0,46
2003035345,,67
2003035345,,67
2003056466,25.0,67
2003056466,25.0,67
2003057689,,67
2003057689,,67
2003057689,35.0,67
2003030751,35.0,46
2003030751,30.0,46
2005123055,25.0,46
2005123055,25.0,46
2002210935,25.0,46
2002051955,25.0,52
2002051955,25.0,52
2002237610,25.0,25
2002237610,25.0,25
2002237610,25.0,25
2003022891,25.0,67
2003056518,,67
2003056518,,67
